id,description,host_id,host_since,host_response_time,host_response_rate,host_is_superhost,host_identity_verified,neighbourhood_group_cleansed,property_type,room_type,accommodates,bedrooms,amenities,price,weekly_price,monthly_price,security_deposit,cleaning_fee,minimum_nights,number_of_reviews,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,cancellation_policy,reviews_per_month
241032,"Make your self at home in this charming one-bedroom apartment, centrally-located on the west side of Queen Anne hill.   This elegantly-decorated, completely private apartment (bottom unit of a duplex) has an open floor plan, bamboo floors, a fully equipped kitchen, a TV,  DVD player, basic cable, and a very cozy bedroom with a queen-size bed. The unit sleeps up to four (two in the bedroom and two on the very comfortable fold out couch, linens included) and includes free WiFi and laundry. The apartment opens onto a private deck, complete with it's own BBQ, overlooking a garden and a forest of black bamboo.    The Apartment is perfectly-located just one block from the bus lines where you can catch a bus and be downtown Seattle in fifteen minutes or historic Ballard in ten or a quick five-minute walk will bring you to Whole Foods and Peet's Coffee or take a fifteen minute walk to the top of Queen Anne Hill where you will find a variety of eclectic shops, bars, and restaurants. There is no",956883,2011-08-11,within a few hours,96.0,False,True,Queen Anne,Apartment,Entire home/apt,4,1,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,Heating,""Family/Kid Friendly"",Washer,Dryer}",85.0,595.0,2585.416666666667,0.0,0.0,1,207,2011-11-01,2016-01-02,95.0,10.0,10.0,10.0,10.0,9.0,10.0,False,moderate,4.07
953595,"Chemically sensitive? We've removed the irritants triggering allergy or asthma attacks, like carpeting, forced air & used pillows, all culprits that harbor fungus, mold & bacteria.  No smoking, no pets.  Designed for healthy living, so breathe easy. Beautiful, hypoallergenic apartment in an extremely safe, quiet and pedestrian-friendly section of Queen Anne.  A leafy-green location that puts the best of Seattle at your doorstep. Free WiFi, free parking, ...even free pillows!  What's special about this place? Hypo-allergenic bedding, mattresses/covers and new pillows with each rental. (So feel free to take your new pillows with you!)  A beautiful restoration mixing period details & modern sensibilities: Hardwood floors throughout, white subway tile, low/no VOCs & non-toxic paints keep this home-away-from-home clean, smart and healthy. Radiant heat and oil radiators mean no blowing hot air or dust.  Great Amenities: Free WiFi & internet TV (LED flatscreen). Fully-equipped kitchen with st",5177328,2013-02-21,within an hour,98.0,True,True,Queen Anne,Apartment,Entire home/apt,4,1,"{TV,Internet,""Wireless Internet"",Kitchen,""Free Parking on Premises"",""Buzzer/Wireless Intercom"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Safety Card"",""Fire Extinguisher"",Essentials}",150.0,1000.0,3000.0,100.0,40.0,2,43,2013-08-19,2015-12-29,96.0,10.0,10.0,10.0,10.0,10.0,10.0,False,strict,1.48
3308979,"New modern house built in 2013.  Spectacular sunset/water views and light, rooftop deck and lounge area, hot tub, 5 bedrooms, gourmet kitchen.  Perfect for 2-3 families, walk to downtown.  Located in highly desirable Queen Anne neighborhood. Our house is modern, light and fresh with a warm simple palette accented with barnwood, steel and concrete.  Open living spaces for entertaining, gourmet kitchen, deck off the kitchen, reading nook, half bath and smaller tv room off kitchen.  Fireplace with sofa and sitting area. Basement room is great for kids...this room has patio access and a garage door that opens into the space with basketball hoop right outside.  A queen bedroom and full bath are in the basement with concrete heated floors.  A queen sleeper sofa is in the tv area in the basement.  This room has a door if privacy is needed.  Great for a second family with kids.  The 2nd floor has 4 bedrooms (one queen in master, one twin bedroom, another bedroom has twin bunk beds and the last",16708587,2014-06-12,within a few hours,67.0,False,True,Queen Anne,House,Entire home/apt,11,5,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",""Pets Allowed"",""Pets live on this property"",Dog(s),Cat(s),""Hot Tub"",""Indoor Fireplace"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",Essentials,Shampoo}",975.0,6825.0,29656.25,1000.0,300.0,4,20,2014-07-30,2015-09-03,97.0,10.0,10.0,10.0,10.0,10.0,10.0,False,strict,1.15
278830,"Cozy family craftman house in beautiful neighborhood of Queen Anne, Seattle, Washinton. 3 bedrooms, can accomodate up to 6 people. 1,200 sq. feet space is your oasis. Perfect location! Cozy family craftman house in beautiful neighborhood of Queen Anne, Seattle, Washinton. 3 bedrooms, can accomodate up to 6 people. 1,200 sq. feet space is your oasis. Perfect location, walking distance to Whole Foods Market, a 7 minute drive from the Seattle Center (Space Needle, chihuly garden and glass, Children's Museum, Key Arena)! Across the street from golf course- 2 min walk! Relax, sun bath and watch the ferry boats go by on the large outdoor deck with a view of Elliot Bay!   Internet, cable TV with HBO, 3 bedrooms and 2 bathrooms each equipped with a bed for 2 (King, Queen, Queen). Washer and dryer in the unit. Fully stocked kitchen with high end All-Clad cookware. For your peace of mind, we have provided a first aid kit and an emergency kit equipped with water and food. We are always available ",1452570,2011-11-29,within an hour,100.0,False,True,Queen Anne,House,Entire home/apt,6,3,"{TV,""Cable TV"",Internet,""Wireless Internet"",Kitchen,Heating,""Family/Kid Friendly"",""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials,Shampoo}",450.0,3150.0,13687.5,700.0,125.0,1,38,2012-07-10,2015-10-24,92.0,9.0,9.0,10.0,10.0,9.0,9.0,False,strict,0.89
1909058,"Enjoy a quiet stay in our comfortable 1915 Craftsman bungalow in the West Queen Anne neighborhood. Street parking (free near entry), coffee, bakeries and neighborhood cafes nearby.  Close to Upper QA shopping district, Seattle Center and bus stops. Enjoy a quiet stay in our comfortable 1915 Craftsman bungalow in the West Queen Anne neighborhood. Street parking (free near entry), coffee, bakeries and neighborhood cafes nearby.  Close to Upper QA shopping district, Seattle Center and bus stops. Come and go as you wish through a separate entry with large foyer and covered exterior porch.  Parking on 10th Avenue West adjacent to entry is convenient and free. The room and bath are isolated from the rest of the house for your peace and privacy. The bedroom has a memory foam top double bed with comforter, pillows, large closet, dresser and desk /task light.   The bathroom has a pedestal sink and foot claw foot tub/shower. The large 5' tub is perfect for soaking your cares away.  We provide be",2497928,2012-05-30,within an hour,100.0,True,True,Queen Anne,House,Private room,2,1,"{""Wireless Internet"",""Free Parking on Premises"",Heating,""Smoke Detector"",""First Aid Kit"",Essentials,Shampoo}",80.0,575.0,2433.3333333333335,150.0,0.0,3,58,2014-01-27,2015-12-07,99.0,10.0,10.0,10.0,10.0,10.0,10.0,False,moderate,2.46
856550,"Our tiny cabin is private , very quiet and comfortable spot just for two. The bus is just across the street. Queen Anne ,Ballard and Downtown are a short bus ride. High Speed WI-FI. The bathroom is shared by our guests .  This cabin was built with Airbnb in mind, Queen bed with gel foam topper 110 heat with thermostat . Cherry hardwood floors . Oak bed frame and night stand . This cabin is very well insulated and is warm and quiet . The bathroom and shower is located in our house just a few steps away. There is plenty of street parking all around us. Bus line just a half block away. Just a ten minute bus ride to Pike Place Market. Private large back yard we have chickens that live there too. In the spring and summer the garden is a sight to see. If you want a private stay in a nice space this is it. Food within walking distance ,sculpture park is pretty close as well.  -What you get-  your own private space! use of a shared bathroom (for our guests) we have our own.  our back yard and ",4016632,2012-10-30,within an hour,100.0,True,True,Queen Anne,Cabin,Private room,2,1,"{""Wireless Internet"",""Pets live on this property"",Dog(s),Heating,""Family/Kid Friendly"",Essentials,Shampoo}",60.0,360.0,1825.0,150.0,25.0,2,173,2013-01-03,2016-01-01,97.0,10.0,10.0,10.0,10.0,9.0,10.0,False,strict,4.73
2493658,"Beautiful apartment in an extremely safe, quiet and pedestrian-friendly section of Queen Anne.  A leafy-green location that puts the best of Seattle at your doorstep. Free WiFi, free parking, ...even free pillows!*  What's special about this place? A beautiful restoration mixing period details & modern sensibilities: Hardwood floors throughout, white subway tile, low/no VOCs & non-toxic paints keep this home-away-from-home clean, smart and healthy. Radiant heat and oil radiators mean no blowing hot air or dust.  Hypo-allergenic bedding, mattresses/covers and new pillows with each rental. (That's right, they're yours to keep, so feel free to take your new pillows with you.  More on this, below...)  Great Amenities: Free WiFi & internet TV (LED flatscreen). Fully-equipped kitchen with stainless-steel appliances, sink & disposal. Large washer & dryer.  Iron/ironing board. Hairdryer. Plenty of storage. Convenient parking, both on- and off-street. The Best Location: Enjoy Seattle's celebrat",5177328,2013-02-21,within an hour,98.0,True,True,Queen Anne,Apartment,Entire home/apt,4,1,"{TV,Internet,""Wireless Internet"",Kitchen,""Free Parking on Premises"",""Buzzer/Wireless Intercom"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Safety Card"",""Fire Extinguisher"",Essentials}",150.0,1000.0,3000.0,100.0,40.0,2,32,2014-04-27,2015-12-20,97.0,10.0,10.0,10.0,10.0,10.0,9.0,False,strict,1.55
175576,"Queen Anne Hill is a charming neighborhood with historic old homes, located just up the hill from The Seattle Center: close enough to be convenient to everything, yet just far enough away from the traffic, hubbub and commotion of downtown! Be close to everything!  Queen Anne Hill is a charming neighborhood with historic old homes, located just up the hill from The Seattle Center: close enough to be convenient to everything, yet just far enough away from the traffic, hubbub and commotion of downtown! Your basement apartment in our home on Queen Anne Hill is just minutes from The Seattle Center (The Space needle, Pacific Science Center, IMAX Theater, Experience Music Project, International Fountain, Seattle Repertory Theater, Pacific Northwest Ballet, Seattle Children's Theater, and the Gates Foundation complex next door.) Eileen walked home from work every evening right past the Seattle Center. Plus, Seattle Pacific University is on the other end of The Hill.  Your private basement apar",239585,2010-09-19,within a few hours,100.0,True,True,Queen Anne,House,Entire home/apt,2,1,"{TV,""Cable TV"",Internet,""Wireless Internet"",Kitchen,""Free Parking on Premises"",Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Safety Card"",""Fire Extinguisher"",Essentials,Shampoo,""24-Hour Check-in"",Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}",95.0,595.0,2889.5833333333335,0.0,15.0,3,181,2011-07-21,2015-11-25,97.0,10.0,10.0,10.0,10.0,10.0,10.0,False,moderate,3.33
4454295,"Beautifully furnished, cozy 1 bedroom mid century modern Craftsman house in Upper Queen Anne. 850 sqft - queen sz bed, large closet, huge dining table, comfy living room, bathtub, fully furnished kitchen, outdoor patio. VERY walkable neighborhood! Beautiful home in an extremely walkable neighborhood with restaurants, coffee shops, bars, stores. Just blocks away from bus stops. Convenient to downtown, Seattle Center, the Space Needle, Ballard, Fremont. I will likely not be present during your stay, but will have a friend or family member available in my absence. I am located in the Upper Queen Anne neighborhood - Seattle's oldest and most historic neighborhood! Yes, bus stops just 2-3 blocks away.",4606439,2013-01-06,within a few hours,100.0,False,True,Queen Anne,House,Entire home/apt,2,1,"{TV,""Cable TV"",""Wireless Internet"",Kitchen,""Free Parking on Premises"",""Indoor Fireplace"",Heating,""Smoke Detector"",""Carbon Monoxide Detector"",""Fire Extinguisher"",Essentials,Shampoo}",99.0,800.0,2000.0,500.0,150.0,3,8,2015-05-06,2015-12-16,97.0,10.0,10.0,9.0,10.0,10.0,9.0,False,strict,0.98
3883392,"Spacious apt in popular Seattle neighborhood.  1 block to bus and easy access by car to groceries, gas, freeway, stadiums, cruise ships.  Well stocked, quiet and restful space for your vacation; sorry, no accommodations for parties. This apartment is in a quiet and friendly city neighborhood; and central to so many places by car or transit.   Easily sleeps 1 - 4 persons comfortably and has a spacious feeling throughout the entire apartment.  Enter your apartment through an entry hallway for additional feeling of security.   We're in a great location being 10 minutes away from Ballard, Magnolia and downtown Seattle.  The kitchen has a gas stove, convection oven and enough tools to handle any kind of cooking.   We've also stocked the kitchen with some basic staples like oil, balsamic vinegar & spices which will simplify your grocery shopping for your stay here in Seattle.   Guests will have one designated spot for parking in front of the house if you have a car.  Access to washer/dryer o",19932967,2014-08-13,within an hour,100.0,True,True,Queen Anne,Apartment,Entire home/apt,4,2,"{TV,""Cable TV"",Internet,""Wireless Internet"",Kitchen,""Free Parking on Premises"",""Buzzer/Wireless Intercom"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials,Shampoo}",245.0,1575.0,5800.0,300.0,95.0,3,13,2014-11-09,2015-10-02,98.0,10.0,10.0,10.0,10.0,10.0,10.0,False,moderate,0.92
